date,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.3,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,5.3,34.3,2.3,0.0,0.0,0.0,17.5,0.0,53.3,0.0,2.3,3.8,0.0,0.0,0.0,16.5,0.0,0.0,0.0,31.0,8.4,0.0,0.0,1.3,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.8,0.0,19.6,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,9.8
1900-01-02,17.8,20.8,0.0,0.0,12.2,0.0,0.0,0.0,3.8,0.0,0.0,3.8,0.0,0.0,0.0,2.5,0.5,0.0,50.0,0.0,1.8,0.0,56.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.5,0.0,0.5,7.6,0.0,0.0,2.5,3.8,0.0,6.9,0.0,0.0,0.0,2.0,33.0,0.0,6.9,28.4,0.0,0.0,10.4,0.0,0.0,0.0,2.8,0.0,0.0,0.0,19.6,4.3,0.0,0.0,0.0,0.0,0.0,4.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.4,0.0,0.0,5.6,15.4,2.0,0.0,10.2,0.0,15.6,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.2,0.0,7.6,0.0,0.0,0.0,0.0,1.0,0.0,21.8,0.0,0.0,0.0,13.2
1900-01-03,0.0,0.0,21.6,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,0.0,5.6,0.0,47.5,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,4.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,23.4,0.0,0.0,0.0,25.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,10.7,0.0,43.4,3.8,3.8,0.0,2.0,0.0,0.0,2.5,39.9,0.0,0.0,0.0,0.0,5.0,3.6,0.0,0.0,8.0,0.0,5.4,0.0,0.0,36.4,21.2,5.0,0.0,9.4,10.8,18.6,0.0,0.0,0.0,0.0,0.0,25.4,33.6,0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,3.6,16.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,9.2,0.0,0.0,1.8
1900-01-04,0.0,0.0,0.0,0.0,3.0,0.0,0.0,39.4,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.3,6.1,2.5,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.8,0.0,3.3,0.0,0.0,0.0,5.6,0.0,35.3,7.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7,0.0,0.0,2.5,0.0,,10.7,8.1,0.0,39.1,0.0,0.0,0.0,0.5,0.0,9.1,0.0,0.0,1.3,0.0,8.6,16.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.2,0.0,0.2,0.0,0.0,5.5,0.0,0.0,112.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.4,4.4,0.0,0.0,0.0,0.8,0.0,8.0,0.8,0.0,0.0,0.0,3.8
1900-01-05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,6.4,0.0,0.5,3.8,10.2,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,35.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.5,0.3,0.0,0.0,0.0,0.8,0.0,2.0,0.0,1.8,0.0,107.2,31.0,0.0,1.8,31.2,0.0,0.0,0.0,84.8,7.6,0.0,0.0,0.8,0.0,1.5,0.0,8.0,0.0,3.0,7.4,5.0,0.0,0.0,0.0,0.0,2.0,0.0,11.2,1.2,45.8,0.0,0.0,0.0,12.2,6.4,0.0,2.8,6.8,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,7.0,5.1,0.1,19.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,95.2,2.8,0.0,0.0,0.0,26.6
1900-01-06,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,5.1,21.6,0.0,6.4,0.0,1.5,9.7,0.0,14.0,0.0,0.0,0.0,10.2,9.1,0.0,0.0,22.4,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,,10.4,0.0,1.5,0.0,,0.0,0.0,0.8,2.3,0.8,0.0,0.0,0.0,0.0,4.3,7.4,0.0,0.0,0.5,7.9,0.0,0.0,0.0,0.8,0.0,4.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,8.4,0.0,0.0,0.0,6.0,0.4,4.0,0.0,0.0,22.6,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,16.0,0.0,0.0,4.4,1.2,0.0,0.0,0.0,10.2,0.2,0.0,0.0,0.0,0.2
1900-01-07,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,3.8,124.5,0.0,0.0,17.8,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,24.9,36.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.1,0.0,0.3,22.6,0.0,21.1,10.7,2.3,13.7,0.0,2.5,0.0,0.0,0.0,4.3,,0.0,0.0,1.8,0.0,0.0,17.0,0.0,0.0,0.0,22.1,0.0,52.2,0.2,0.0,1.6,0.2,0.0,0.0,0.0,0.6,1.2,0.0,0.0,2.8,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,19.4,32.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,111.4,0.0,5.6,0.0,0.0,24.0,0.0,0.0,0.0,0.0,8.2,3.8,0.0,3.6,0.0,60.4
1900-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.1,0.0,5.3,0.0,0.0,0.0,16.5,2.5,16.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,24.9,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,2.5,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,,28.4,9.4,0.3,2.0,27.9,0.0,0.0,0.0,2.3,0.0,2.0,88.4,0.0,0.0,0.0,5.8,0.0,1.3,0.0,1.0,0.0,0.0,2.3,49.4,2.4,1.8,0.0,0.0,0.0,0.0,8.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.2,0.0,0.0,0.4,0.0,13.4,4.8,6.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.5,0.2,14.6,0.0,2.2,2.4,0.0,0.0,1.0,0.0,0.4,1.0,0.0,6.4,0.0,4.1
1900-01-09,3.8,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,21.1,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,50.8,0.0,7.6,9.1,12.7,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,26.2,0.0,26.7,0.0,0.0,0.0,0.0,2.0,,33.3,0.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,18.0,0.3,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.4,0.8,0.0,5.8,0.0,0.0,0.0,0.0,9.2,2.4,0.0,0.8,2.8,0.0,30.0,10.0,7.4,4.4,0.0,0.0,2.0,0.0,12.3,0.0,1.8,1.2,0.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0
1900-01-10,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.3,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.5,7.1,0.0,0.0,4.1,0.0,7.1,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8.4,0.3,0.0,0.0,0.0,0.0,1.0,11.9,0.0,0.0,0.0,6.6,25.6,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.6,0.0,0.0,0.2,0.0,0.0,2.2,0.0,21.4,0.0,0.2,0.0,1.8,0.0,16.0,,1.4,0.0,0.0,0.4,0.2,0.0,3.5,0.0,1.6,0.6,0.0,2.8,0.8,1.2,0.0,0.0,0.0,0.0,3.0,0.0,3.4,5.6
