date,year,Max
1900-11-25,1987,
1900-11-26,1987,1.737
1900-11-27,1987,1.722
1900-11-28,1987,1.692
1900-11-29,1987,1.640
1900-11-30,1987,1.620
1900-12-01,1987,1.672
1900-12-02,1987,1.620
1900-12-03,1987,1.600
1900-12-04,1987,1.570
1900-12-05,1987,1.557
1900-12-06,1987,1.562
1900-12-07,1987,1.562
1900-12-08,1987,1.540
1900-12-09,1987,1.535
1900-12-10,1987,1.532
1900-12-11,1987,1.552
1900-12-12,1987,1.525
1900-12-13,1987,1.517
1900-12-14,1987,1.497
1900-12-15,1987,1.490
1900-12-16,1987,1.485
1900-12-17,1987,1.492
1900-12-18,1987,1.492
1900-12-19,1987,1.485
1900-12-20,1987,1.487
1900-12-21,1987,1.500
1900-12-22,1987,1.506
1900-12-23,1987,1.502
1900-12-24,1987,1.493
1900-12-25,1987,1.503
1900-12-26,1987,1.512
1900-12-27,1987,1.512
1900-12-28,1987,1.505
1900-12-29,1987,1.645
1900-12-30,1987,1.995
1900-12-31,1987,1.927
1900-01-01,1988,1.827
1900-01-02,1988,1.797
1900-01-03,1988,1.739
1900-01-04,1988,1.679
1900-01-05,1988,1.647
1900-01-06,1988,1.616
1900-01-07,1988,1.592
1900-01-08,1988,1.588
1900-01-09,1988,1.588
1900-01-10,1988,1.569
1900-01-11,1988,1.554
1900-01-12,1988,1.545
1900-01-13,1988,1.550
1900-01-14,1988,1.556
1900-01-15,1988,1.545
1900-01-16,1988,1.526
1900-01-17,1988,1.516
1900-01-18,1988,1.509
1900-01-19,1988,1.508
1900-01-20,1988,1.503
1900-01-21,1988,1.496
1900-01-22,1988,1.507
1900-01-23,1988,1.510
1900-01-24,1988,1.511
1900-01-25,1988,1.508
1900-01-26,1988,1.498
1900-01-27,1988,1.491
1900-01-28,1988,1.480
1900-01-29,1988,1.475
1900-01-30,1988,1.472
1900-01-31,1988,1.472
1900-02-01,1988,1.469
1900-02-02,1988,1.465
1900-02-03,1988,1.464
1900-02-04,1988,1.466
1900-02-05,1988,1.466
1900-02-06,1988,1.466
1900-02-07,1988,1.466
1900-02-08,1988,1.530
1900-02-09,1988,1.515
1900-02-10,1988,1.480
1900-02-11,1988,1.473
1900-02-12,1988,1.468
1900-02-13,1988,1.467
1900-02-14,1988,1.489
1900-02-15,1988,1.497
1900-02-16,1988,1.722
1900-02-17,1988,1.737
1900-02-18,1988,1.718
1900-02-19,1988,1.676
1900-02-20,1988,1.606
1900-02-21,1988,1.556
1900-02-22,1988,1.531
1900-02-23,1988,1.530
1900-02-24,1988,1.492
1900-02-25,1988,1.472
1900-02-26,1988,1.465
1900-02-27,1988,1.465
1900-02-28,1988,1.461
1900-03-01,1988,1.459
1900-03-02,1988,1.461
1900-03-03,1988,1.462
1900-03-04,1988,1.462
1900-03-05,1988,1.475
1900-03-06,1988,1.497
1900-03-07,1988,1.477
1900-03-08,1988,1.475
1900-03-09,1988,1.472
1900-03-10,1988,1.472
1900-03-11,1988,1.467
1900-03-12,1988,1.530
1900-03-13,1988,1.490
1900-03-14,1988,1.480
1900-03-15,1988,1.467
1900-03-16,1988,1.460
1900-03-17,1988,1.740
1900-03-18,1988,1.470
1900-03-19,1988,1.462
1900-03-20,1988,1.462
1900-03-21,1988,1.460
1900-03-22,1988,1.460
1900-03-23,1988,1.465
1900-03-24,1988,1.462
1900-03-25,1988,1.487
1900-03-26,1988,1.477
1900-03-27,1988,1.467
1900-03-28,1988,1.462
1900-03-29,1988,1.462
1900-03-30,1988,1.462
1900-03-31,1988,1.692
1900-04-01,1988,1.475
1900-04-02,1988,1.470
1900-04-03,1988,1.470
1900-04-04,1988,1.520
1900-04-05,1988,1.532
1900-04-06,1988,2.227
1900-04-07,1988,2.127
1900-04-08,1988,2.467
1900-04-09,1988,3.150
1900-04-10,1988,3.212
1900-04-11,1988,3.307
1900-04-12,1988,3.652
1900-04-13,1988,3.710
1900-04-14,1988,3.122
1900-04-15,1988,2.537
1900-04-16,1988,2.242
1900-04-17,1988,2.092
1900-04-18,1988,2.067
1900-04-19,1988,1.997
1900-04-20,1988,1.927
1900-04-21,1988,1.992
1900-04-22,1988,1.920
1900-04-23,1988,1.875
1900-04-24,1988,1.830
1900-04-25,1988,1.792
1900-04-26,1988,1.760
1900-04-27,1988,1.742
1900-04-28,1988,2.775
1900-04-29,1988,7.475
1900-04-30,1988,13.152
1900-05-01,1988,16.755
1900-05-02,1988,13.570
1900-05-03,1988,8.090
1900-05-04,1988,5.875
1900-05-05,1988,4.570
1900-05-06,1988,3.855
1900-05-07,1988,3.427
1900-05-08,1988,3.145
1900-05-09,1988,2.950
1900-05-10,1988,2.915
1900-05-11,1988,2.742
1900-05-12,1988,2.632
1900-05-13,1988,2.522
1900-05-14,1988,2.420
1900-05-15,1988,2.362
1900-05-16,1988,2.320
1900-05-17,1988,2.265
1900-05-18,1988,2.294
1900-05-19,1988,2.235
1900-05-20,1988,2.399
1900-05-21,1988,2.462
1900-05-22,1988,2.356
1900-05-23,1988,2.222
1900-05-24,1988,2.224
1900-05-25,1988,2.893
1900-05-26,1988,4.204
1900-05-27,1988,4.244
1900-05-28,1988,3.403
1900-05-29,1988,2.905
1900-05-30,1988,2.664
1900-05-31,1988,2.528
1900-06-01,1988,2.415
1900-06-02,1988,2.337
1900-06-03,1988,2.296
1900-06-04,1988,2.257
1900-06-05,1988,2.207
1900-06-06,1988,2.656
1900-06-07,1988,3.243
1900-06-08,1988,3.216
1900-06-09,1988,2.679
1900-06-10,1988,2.409
1900-06-11,1988,2.291
1900-06-12,1988,2.216
1900-06-13,1988,2.196
1900-06-14,1988,2.152
1900-06-15,1988,2.118
1900-06-16,1988,2.096
1900-06-17,1988,2.831
1900-06-18,1988,2.871
1900-06-19,1988,2.814
1900-06-20,1988,2.539
1900-06-21,1988,2.348
1900-06-22,1988,2.235
1900-06-23,1988,2.176
1900-06-24,1988,2.132
1900-06-25,1988,2.205
1900-06-26,1988,2.095
1900-06-27,1988,2.042
1900-06-28,1988,2.036
1900-06-29,1988,2.018
1900-06-30,1988,1.988
1900-07-01,1988,1.967
1900-07-02,1988,1.959
1900-07-03,1988,1.935
1900-07-04,1988,1.925
1900-07-05,1988,1.895
1900-07-06,1988,6.549
1900-07-07,1988,11.439
1900-07-08,1988,9.784
1900-07-09,1988,5.271
1900-07-10,1988,3.995
1900-07-11,1988,3.380
1900-07-12,1988,2.996
1900-07-13,1988,2.851
1900-07-14,1988,2.696
1900-07-15,1988,2.587
1900-07-16,1988,2.507
1900-07-17,1988,2.454
1900-07-18,1988,2.415
1900-07-19,1988,2.345
1900-07-20,1988,2.290
1900-07-21,1988,2.254
1900-07-22,1988,2.204
1900-07-23,1988,2.176
1900-07-24,1988,2.245
1900-07-25,1988,2.180
1900-07-26,1988,2.117
1900-07-27,1988,2.078
1900-07-28,1988,2.098
1900-07-29,1988,2.171
1900-07-30,1988,2.139
1900-07-31,1988,2.052
1900-08-01,1988,2.022
1900-08-02,1988,1.988
1900-08-03,1988,1.973
1900-08-04,1988,1.955
1900-08-05,1988,1.946
1900-08-06,1988,1.941
1900-08-07,1988,1.916
1900-08-08,1988,1.937
1900-08-09,1988,1.882
1900-08-10,1988,1.996
1900-08-11,1988,1.953
1900-08-12,1988,1.986
1900-08-13,1988,2.049
1900-08-14,1988,1.977
1900-08-15,1988,1.899
1900-08-16,1988,2.103
1900-08-17,1988,1.980
1900-08-18,1988,1.854
1900-08-19,1988,2.068
1900-08-20,1988,2.049
1900-08-21,1988,1.963
1900-08-22,1988,1.963
1900-08-23,1988,2.097
1900-08-24,1988,2.116
1900-08-25,1988,2.446
1900-08-26,1988,2.763
1900-08-27,1988,2.508
1900-08-28,1988,2.229
1900-08-29,1988,2.068
1900-08-30,1988,2.011
1900-08-31,1988,2.020
1900-09-01,1988,2.004
1900-09-02,1988,1.916
1900-09-03,1988,2.038
1900-09-04,1988,1.882
1900-09-05,1988,1.824
1900-09-06,1988,1.863
1900-09-07,1988,1.857
1900-09-08,1988,1.850
1900-09-09,1988,1.801
1900-09-10,1988,1.768
1900-09-11,1988,1.743
1900-09-12,1988,1.732
1900-09-13,1988,1.711
1900-09-14,1988,1.700
1900-09-15,1988,1.707
1900-09-16,1988,1.715
1900-09-17,1988,2.398
1900-09-18,1988,2.552
1900-09-19,1988,2.806
1900-09-20,1988,2.936
1900-09-21,1988,2.783
1900-09-22,1988,2.485
1900-09-23,1988,2.229
1900-09-24,1988,2.114
1900-09-25,1988,2.033
1900-09-26,1988,1.964
1900-09-27,1988,1.904
1900-09-28,1988,1.892
1900-09-29,1988,2.070
1900-09-30,1988,2.062
1900-10-01,1988,1.970
1900-10-02,1988,1.882
1900-10-03,1988,1.845
1900-10-04,1988,1.792
1900-10-05,1988,1.767
1900-10-06,1988,1.733
1900-10-07,1988,1.716
1900-10-08,1988,1.688
1900-10-09,1988,1.698
1900-10-10,1988,1.696
1900-10-11,1988,1.677
1900-10-12,1988,1.667
1900-10-13,1988,1.682
1900-10-14,1988,1.657
1900-10-15,1988,1.702
1900-10-16,1988,1.613
1900-10-17,1988,1.613
1900-10-18,1988,1.618
1900-10-19,1988,1.595
1900-10-20,1988,1.555
1900-10-21,1988,1.545
1900-10-22,1988,1.579
1900-10-23,1988,1.559
1900-10-24,1988,1.591
1900-10-25,1988,1.569
1900-10-26,1988,1.541
1900-10-27,1988,1.565
1900-10-28,1988,1.570
1900-10-29,1988,1.552
1900-10-30,1988,1.587
1900-10-31,1988,1.545
1900-11-01,1988,1.525
1900-11-02,1988,1.518
1900-11-03,1988,1.543
1900-11-04,1988,1.546
1900-11-05,1988,1.523
1900-11-06,1988,1.526
1900-11-07,1988,1.527
1900-11-08,1988,1.527
1900-11-09,1988,1.527
1900-11-10,1988,1.532
1900-11-11,1988,1.537
1900-11-12,1988,1.535
1900-11-13,1988,1.528
1900-11-14,1988,1.474
1900-11-15,1988,1.424
1900-11-16,1988,1.460
1900-11-17,1988,1.513
1900-11-18,1988,1.698
1900-11-19,1988,2.253
1900-11-20,1988,2.179
1900-11-21,1988,2.056
1900-11-22,1988,2.057
1900-11-23,1988,2.180
1900-11-24,1988,2.177
1900-11-25,1988,2.025
1900-11-26,1988,2.228
1900-11-27,1988,2.253
1900-11-28,1988,2.677
1900-11-29,1988,3.097
1900-11-30,1988,3.044
1900-12-01,1988,2.539
1900-12-02,1988,2.242
1900-12-03,1988,2.073
1900-12-04,1988,1.965
1900-12-05,1988,1.883
1900-12-06,1988,1.869
1900-12-07,1988,1.834
1900-12-08,1988,1.870
1900-12-09,1988,1.952
1900-12-10,1988,2.087
1900-12-11,1988,2.218
1900-12-12,1988,2.566
1900-12-13,1988,2.571
1900-12-14,1988,2.473
1900-12-15,1988,2.217
1900-12-16,1988,2.057
1900-12-17,1988,2.505
1900-12-18,1988,2.490
1900-12-19,1988,2.193
1900-12-20,1988,2.050
1900-12-21,1988,1.976
1900-12-22,1988,1.915
1900-12-23,1988,1.867
1900-12-24,1988,2.037
1900-12-25,1988,2.067
1900-12-26,1988,1.945
1900-12-27,1988,3.817
1900-12-28,1988,3.855
1900-12-29,1988,3.710
1900-12-30,1988,2.872
1900-12-31,1988,2.437
1900-01-01,1989,2.225
1900-01-02,1989,4.785
1900-01-03,1989,5.462
1900-01-04,1989,4.865
1900-01-05,1989,3.522
1900-01-06,1989,3.017
1900-01-07,1989,3.030
1900-01-08,1989,2.695
1900-01-09,1989,2.467
1900-01-10,1989,2.315
1900-01-11,1989,2.220
1900-01-12,1989,2.160
1900-01-13,1989,2.050
1900-01-14,1989,1.987
1900-01-15,1989,1.937
1900-01-16,1989,1.910
1900-01-17,1989,1.882
1900-01-18,1989,2.017
1900-01-19,1989,2.057
1900-01-20,1989,2.032
1900-01-21,1989,2.065
1900-01-22,1989,2.057
1900-01-23,1989,2.077
1900-01-24,1989,2.377
1900-01-25,1989,2.225
1900-01-26,1989,2.060
1900-01-27,1989,1.962
1900-01-28,1989,1.905
1900-01-29,1989,1.857
1900-01-30,1989,1.810
1900-01-31,1989,1.792
1900-02-01,1989,1.760
1900-02-02,1989,1.821
1900-02-03,1989,1.834
1900-02-04,1989,1.779
1900-02-05,1989,1.768
1900-02-06,1989,1.799
1900-02-07,1989,1.799
1900-02-08,1989,1.764
1900-02-09,1989,1.816
1900-02-10,1989,1.891
1900-02-11,1989,1.885
1900-02-12,1989,1.797
1900-02-13,1989,1.760
1900-02-14,1989,1.711
1900-02-15,1989,1.678
1900-02-16,1989,1.657
1900-02-17,1989,1.642
1900-02-18,1989,1.635
1900-02-19,1989,1.627
1900-02-20,1989,1.643
1900-02-21,1989,2.110
1900-02-22,1989,2.110
1900-02-23,1989,1.871
