date,year,rainfall
1900-09-24,2013,0.746
1900-09-25,2013,0.794
1900-09-26,2013,0.788
1900-09-27,2013,0.540
1900-09-28,2013,0.651
1900-09-29,2013,0.619
1900-09-30,2013,0.847
1900-10-01,2013,0.755
1900-10-02,2013,0.845
1900-10-03,2013,0.809
1900-10-04,2013,0.843
1900-10-05,2013,0.923
1900-10-06,2013,0.947
1900-10-07,2013,0.916
1900-10-08,2013,1.016
1900-10-09,2013,1.052
1900-10-10,2013,0.891
1900-10-11,2013,0.860
1900-10-12,2013,0.944
1900-10-13,2013,0.816
1900-10-14,2013,0.763
1900-10-15,2013,1.036
1900-10-16,2013,0.820
1900-10-17,2013,0.816
1900-10-18,2013,0.686
1900-10-19,2013,0.816
1900-10-20,2013,0.721
1900-10-21,2013,0.858
1900-10-22,2013,0.752
1900-10-23,2013,0.879
1900-10-24,2013,0.926
1900-10-25,2013,0.874
1900-10-26,2013,0.767
1900-10-27,2013,0.780
1900-10-28,2013,0.740
1900-10-29,2013,0.766
1900-10-30,2013,0.739
1900-10-31,2013,0.762
1900-11-01,2013,0.639
1900-11-02,2013,0.624
1900-11-03,2013,0.688
1900-11-04,2013,0.802
1900-11-05,2013,1.088
1900-11-06,2013,1.100
1900-11-07,2013,1.139
1900-11-08,2013,0.903
1900-11-09,2013,0.837
1900-11-10,2013,0.785
1900-11-11,2013,0.810
1900-11-12,2013,0.787
1900-11-13,2013,0.612
1900-11-14,2013,0.532
1900-11-15,2013,0.585
1900-11-16,2013,0.687
1900-11-17,2013,0.776
1900-11-18,2013,0.896
1900-11-19,2013,0.923
1900-11-20,2013,0.923
1900-11-21,2013,0.894
1900-11-22,2013,0.807
1900-11-23,2013,0.668
1900-11-24,2013,0.586
1900-11-25,2013,0.629
1900-11-26,2013,0.745
1900-11-27,2013,0.720
1900-11-28,2013,0.604
1900-11-29,2013,0.575
1900-11-30,2013,0.686
1900-12-01,2013,0.730
1900-12-02,2013,0.723
1900-12-03,2013,0.856
1900-12-04,2013,0.977
1900-12-05,2013,1.044
1900-12-06,2013,1.057
1900-12-07,2013,1.020
1900-12-08,2013,1.075
1900-12-09,2013,1.127
1900-12-10,2013,0.838
1900-12-11,2013,0.588
1900-12-12,2013,0.601
1900-12-13,2013,0.698
1900-12-14,2013,0.708
1900-12-15,2013,0.777
1900-12-16,2013,0.865
1900-12-17,2013,0.873
1900-12-18,2013,0.746
1900-12-19,2013,0.693
1900-12-20,2013,0.723
1900-12-21,2013,0.678
1900-12-22,2013,0.642
1900-12-23,2013,0.679
1900-12-24,2013,0.583
1900-12-25,2013,0.482
1900-12-26,2013,0.522
1900-12-27,2013,0.518
1900-12-28,2013,0.543
1900-12-29,2013,0.665
1900-12-30,2013,0.764
1900-12-31,2013,0.914
1900-01-01,2014,0.964
1900-01-02,2014,1.141
1900-01-03,2014,1.186
1900-01-04,2014,1.236
1900-01-05,2014,1.218
1900-01-06,2014,1.111
1900-01-07,2014,0.870
1900-01-08,2014,0.721
1900-01-09,2014,0.676
1900-01-10,2014,0.446
1900-01-11,2014,0.468
1900-01-12,2014,0.476
1900-01-13,2014,0.475
1900-01-14,2014,0.523
1900-01-15,2014,0.595
1900-01-16,2014,0.519
1900-01-17,2014,0.476
1900-01-18,2014,0.582
1900-01-19,2014,0.554
1900-01-20,2014,0.534
1900-01-21,2014,0.569
1900-01-22,2014,0.657
1900-01-23,2014,0.453
1900-01-24,2014,0.399
1900-01-25,2014,0.374
1900-01-26,2014,0.444
1900-01-27,2014,0.514
1900-01-28,2014,0.519
1900-01-29,2014,0.540
1900-01-30,2014,0.550
1900-01-31,2014,0.610
1900-02-01,2014,0.723
1900-02-02,2014,0.700
1900-02-03,2014,0.638
1900-02-04,2014,0.613
1900-02-05,2014,0.371
1900-02-06,2014,0.446
1900-02-07,2014,0.501
1900-02-08,2014,0.345
1900-02-09,2014,0.332
1900-02-10,2014,0.397
1900-02-11,2014,0.430
1900-02-12,2014,0.444
1900-02-13,2014,0.547
1900-02-14,2014,0.625
1900-02-15,2014,0.637
1900-02-16,2014,0.742
1900-02-17,2014,0.742
1900-02-18,2014,0.728
1900-02-19,2014,0.787
1900-02-20,2014,0.727
1900-02-21,2014,0.531
1900-02-22,2014,0.451
1900-02-23,2014,0.565
1900-02-24,2014,0.657
1900-02-25,2014,0.630
1900-02-26,2014,0.624
1900-02-27,2014,0.656
1900-02-28,2014,0.683
1900-03-01,2014,0.672
1900-03-02,2014,0.905
1900-03-03,2014,0.874
1900-03-04,2014,0.800
1900-03-05,2014,0.705
1900-03-06,2014,0.587
1900-03-07,2014,0.542
1900-03-08,2014,0.530
1900-03-09,2014,0.400
1900-03-10,2014,0.414
1900-03-11,2014,0.408
1900-03-12,2014,0.420
1900-03-13,2014,0.427
1900-03-14,2014,0.485
1900-03-15,2014,0.582
1900-03-16,2014,0.657
1900-03-17,2014,0.752
1900-03-18,2014,0.679
1900-03-19,2014,0.629
1900-03-20,2014,0.566
1900-03-21,2014,0.649
1900-03-22,2014,0.671
1900-03-23,2014,0.540
1900-03-24,2014,0.650
1900-03-25,2014,0.721
1900-03-26,2014,0.771
1900-03-27,2014,0.744
1900-03-28,2014,0.747
1900-03-29,2014,0.742
1900-03-30,2014,0.765
1900-03-31,2014,0.730
1900-04-01,2014,0.728
1900-04-02,2014,0.685
1900-04-03,2014,0.692
1900-04-04,2014,0.633
1900-04-05,2014,0.605
1900-04-06,2014,0.712
1900-04-07,2014,0.790
1900-04-08,2014,0.645
1900-04-09,2014,0.593
1900-04-10,2014,0.517
1900-04-11,2014,0.554
1900-04-12,2014,0.562
1900-04-13,2014,0.813
1900-04-14,2014,0.939
1900-04-15,2014,0.808
1900-04-16,2014,0.849
1900-04-17,2014,0.907
1900-04-18,2014,0.888
1900-04-19,2014,1.042
1900-04-20,2014,0.922
1900-04-21,2014,0.800
1900-04-22,2014,0.743
1900-04-23,2014,0.691
1900-04-24,2014,0.721
1900-04-25,2014,0.735
1900-04-26,2014,0.735
1900-04-27,2014,0.688
1900-04-28,2014,0.799
1900-04-29,2014,0.823
1900-04-30,2014,0.927
1900-05-01,2014,0.830
1900-05-02,2014,0.964
1900-05-03,2014,0.992
1900-05-04,2014,0.812
1900-05-05,2014,0.936
1900-05-06,2014,0.855
1900-05-07,2014,0.728
1900-05-08,2014,0.819
1900-05-09,2014,0.803
1900-05-10,2014,0.696
1900-05-11,2014,0.628
1900-05-12,2014,0.626
1900-05-13,2014,0.654
1900-05-14,2014,0.749
1900-05-15,2014,0.804
1900-05-16,2014,0.809
1900-05-17,2014,0.408
1900-05-18,2014,0.769
1900-05-19,2014,0.785
1900-05-20,2014,0.794
1900-05-21,2014,0.753
1900-05-22,2014,0.686
1900-05-23,2014,0.698
1900-05-24,2014,0.683
1900-05-25,2014,0.779
1900-05-26,2014,0.927
1900-05-27,2014,0.917
1900-05-28,2014,0.953
1900-05-29,2014,0.958
1900-05-30,2014,0.891
1900-05-31,2014,0.927
1900-06-01,2014,0.891
1900-06-02,2014,0.885
1900-06-03,2014,0.800
1900-06-04,2014,0.700
1900-06-05,2014,0.602
1900-06-06,2014,0.623
1900-06-07,2014,0.658
1900-06-08,2014,0.639
1900-06-09,2014,0.735
1900-06-10,2014,0.853
1900-06-11,2014,0.921
1900-06-12,2014,0.946
1900-06-13,2014,1.027
1900-06-14,2014,1.132
1900-06-15,2014,1.168
1900-06-16,2014,1.183
1900-06-17,2014,1.249
1900-06-18,2014,0.994
1900-06-19,2014,0.835
1900-06-20,2014,0.699
1900-06-21,2014,0.654
1900-06-22,2014,0.700
1900-06-23,2014,0.792
1900-06-24,2014,0.908
1900-06-25,2014,0.885
1900-06-26,2014,0.953
1900-06-27,2014,0.994
1900-06-28,2014,1.034
1900-06-29,2014,1.113
1900-06-30,2014,1.037
1900-07-01,2014,1.019
1900-07-02,2014,0.962
1900-07-03,2014,0.823
1900-07-04,2014,0.774
1900-07-05,2014,0.692
1900-07-06,2014,0.595
1900-07-07,2014,0.607
1900-07-08,2014,0.731
1900-07-09,2014,0.843
1900-07-10,2014,0.902
1900-07-11,2014,0.926
1900-07-12,2014,1.053
1900-07-13,2014,1.157
1900-07-14,2014,1.140
1900-07-15,2014,1.116
1900-07-16,2014,0.975
1900-07-17,2014,0.897
