date,Very dry,Very wet,Median,2022 to date
1900-01-01,0.0,11.38,0.0,12.0
1900-01-02,0.0,24.320000000000018,0.5,44.0
1900-01-03,0.0,35.11000000000001,2.2,45.0
1900-01-04,0.0,43.120000000000005,6.1,46.0
1900-01-05,0.0,50.26000000000001,8.15,58.0
1900-01-06,0.0,59.24,11.149999999999999,77.0
1900-01-07,0.3,76.19000000000001,13.5,78.0
1900-01-08,0.3,85.24,15.95,79.0
1900-01-09,0.8,99.07000000000005,18.5,79.0
1900-01-10,1.5500000000000007,116.11000000000004,25.200000000000003,79.0
1900-01-11,2.0500000000000007,118.94,29.0,79.0
1900-01-12,6.040000000000001,119.99,30.75,79.0
1900-01-13,7.220000000000001,122.71000000000002,32.8,79.0
1900-01-14,8.240000000000002,130.92000000000007,40.75,79.0
1900-01-15,11.0,134.14,44.1,79.0
1900-01-16,11.97,144.93000000000006,51.15,94.0
1900-01-17,12.61,156.22000000000008,54.900000000000006,94.0
1900-01-18,16.26,159.26000000000002,63.199999999999996,94.0
1900-01-19,18.21,168.28000000000006,63.199999999999996,94.0
1900-01-20,18.700000000000006,174.41000000000003,71.75,113.0
1900-01-21,22.470000000000002,188.93000000000006,74.95,164.0
1900-01-22,24.79,196.96000000000004,78.1,168.0
1900-01-23,25.850000000000005,211.98000000000008,85.25,173.0
1900-01-24,28.16,242.06,89.44999999999999,173.0
1900-01-25,28.780000000000005,258.90999999999997,99.94999999999999,173.0
1900-01-26,32.06,261.73,100.3,181.0
1900-01-27,33.01,274.18,100.3,182.0
1900-01-28,36.150000000000006,274.21,111.34999999999998,190.0
1900-01-29,38.2,286.4500000000001,114.19999999999999,190.0
1900-01-30,40.730000000000004,289.36000000000007,121.0,191.0
1900-01-31,42.760000000000005,298.36,121.55,194.0
1900-02-01,48.08,299.26000000000005,127.84999999999998,194.0
1900-02-02,52.84,306.4100000000001,135.7,200.0
1900-02-03,52.88,311.85,147.0,260.0
1900-02-04,52.88,315.72,157.20000000000002,292.0
1900-02-05,52.88,320.3100000000001,160.5,294.0
1900-02-06,52.88,334.4700000000001,161.60000000000002,304.0
1900-02-07,56.010000000000005,339.34000000000003,169.25,306.0
1900-02-08,56.02,340.53000000000003,172.35000000000002,311.0
1900-02-09,58.88,363.89,177.7,311.0
1900-02-10,63.98,364.35999999999996,181.4,311.0
1900-02-11,66.83,370.44000000000005,201.04999999999998,311.0
1900-02-12,70.88000000000001,373.9400000000001,203.75,311.0
1900-02-13,72.72999999999999,397.46999999999997,210.60000000000002,311.0
1900-02-14,81.04,407.6400000000001,213.65,314.0
1900-02-15,82.17999999999998,407.6400000000001,216.3,316.0
1900-02-16,86.19999999999997,418.6200000000001,225.75,316.0
1900-02-17,87.38000000000001,428.0900000000001,226.30000000000004,317.0
1900-02-18,100.03999999999999,480.08000000000004,230.35,317.0
1900-02-19,104.32999999999998,486.7200000000001,240.85000000000002,322.0
1900-02-20,107.88000000000001,499.46000000000015,244.90000000000003,324.0
1900-02-21,119.06999999999998,523.7600000000001,254.65000000000003,324.0
1900-02-22,119.09999999999998,524.2800000000001,272.05,326.0
1900-02-23,120.74000000000001,531.9300000000001,274.05,346.0
1900-02-24,124.49000000000001,531.9300000000001,281.95,522.0
1900-02-25,125.12999999999998,531.9300000000001,282.45,557.0
1900-02-26,125.39999999999998,532.2900000000001,283.65000000000003,564.0
