date,Very dry,Very wet,Median,2021-22 to date
1900-07-01,0.0,3.3,0.0,9.0
1900-07-02,0.0,11.0,0.0,21.0
1900-07-03,0.0,17.8,0.6,25.0
1900-07-04,0.0,19.0,1.3,26.0
1900-07-05,0.0,29.599999999999998,2.5,26.0
1900-07-06,0.0,33.1,4.0,26.0
1900-07-07,0.0,45.5,5.4,26.0
1900-07-08,0.0,46.89999999999999,6.5,27.0
1900-07-09,0.0,55.1,7.0,36.0
1900-07-10,0.0,57.9,8.6,40.0
1900-07-11,0.0,69.8,9.899999999999999,40.0
1900-07-12,0.0,73.39999999999999,12.0,40.0
1900-07-13,0.0,84.0,13.7,40.0
1900-07-14,0.6,88.3,15.899999999999999,40.0
1900-07-15,1.4,88.3,17.8,40.0
1900-07-16,2.0,88.3,19.0,40.0
1900-07-17,2.0,91.2,20.6,40.0
1900-07-18,2.0,110.00000000000001,22.0,40.0
1900-07-19,2.4,110.00000000000001,25.700000000000003,40.0
1900-07-20,2.4,115.60000000000001,26.9,40.0
1900-07-21,2.6000000000000005,118.9,26.9,40.0
1900-07-22,2.6000000000000005,132.9,28.0,40.0
1900-07-23,2.8,138.20000000000002,28.0,40.0
1900-07-24,2.8,138.20000000000002,28.4,41.0
1900-07-25,2.8,141.1,28.9,41.0
1900-07-26,3.1,141.1,30.0,41.0
1900-07-27,3.6,142.10000000000002,35.0,41.0
1900-07-28,3.8,143.10000000000002,39.6,41.0
1900-07-29,4.0,143.10000000000002,40.199999999999996,41.0
1900-07-30,5.3,149.40000000000003,42.4,41.0
1900-07-31,6.2,149.40000000000003,43.60000000000001,41.0
1900-08-01,6.8,149.40000000000003,43.60000000000001,41.0
1900-08-02,7.4,149.40000000000003,47.900000000000006,41.0
1900-08-03,7.4,149.40000000000003,49.39999999999999,42.0
1900-08-04,10.899999999999999,149.40000000000003,49.599999999999994,42.0
1900-08-05,11.0,149.40000000000003,50.1,42.0
1900-08-06,11.0,161.4,53.0,42.0
1900-08-07,11.0,171.3,53.0,42.0
1900-08-08,11.7,177.2,53.0,42.0
1900-08-09,13.299999999999999,177.2,54.00000000000001,47.0
1900-08-10,13.299999999999999,177.2,58.0,47.0
1900-08-11,17.6,186.3,59.5,47.0
1900-08-12,18.5,186.3,59.5,47.0
1900-08-13,19.0,188.10000000000002,59.5,47.0
1900-08-14,19.0,188.10000000000002,62.900000000000006,47.0
1900-08-15,21.7,188.10000000000002,62.900000000000006,49.0
1900-08-16,22.3,196.59999999999997,63.7,49.0
1900-08-17,22.3,197.09999999999997,64.09999999999998,49.0
1900-08-18,23.0,201.19999999999996,67.49999999999999,49.0
1900-08-19,23.699999999999996,201.19999999999996,67.49999999999999,49.0
1900-08-20,24.7,203.19999999999996,72.4,49.0
