date,Very dry,Extremely dry,Very wet,Extremely wet,Median,2022 to date
1900-04-09,208.60000000000002,89.60999999999996,599.3300000000002,974.1859999999987,350.4000000000001,1273.2
1900-04-10,213.08999999999997,92.91199999999995,608.0900000000001,976.7139999999987,352.90000000000003,1275.6000000000001
1900-04-11,213.99,110.82899999999997,628.3200000000002,989.8279999999985,356.1,1275.8000000000002
1900-04-12,218.85000000000002,125.28599999999996,636.9300000000002,990.4069999999983,359.45000000000005,1276.6000000000001
1900-04-13,219.63000000000002,139.53399999999996,647.7600000000003,990.4069999999983,359.85,1276.6000000000001
1900-04-14,220.81000000000003,140.05899999999997,647.7800000000003,990.5119999999984,363.4500000000001,1292.0000000000002
1900-04-15,229.68,140.05899999999997,647.7800000000003,991.9339999999984,364.60000000000014,1292.2000000000003
1900-04-16,231.74000000000015,140.29599999999996,647.7800000000003,998.640999999998,381.50000000000017,1292.2000000000003
1900-04-17,238.88000000000017,140.29599999999996,647.7800000000003,1002.7989999999982,381.50000000000017,1292.2000000000003
1900-04-18,239.15000000000018,140.533,651.1700000000002,1003.4289999999983,383.5000000000001,1292.2000000000003
1900-04-19,239.28000000000017,140.76999999999998,659.4799999999999,1003.4289999999983,388.6,1292.2000000000003
1900-04-20,239.38000000000017,141.007,676.8000000000002,1004.0969999999982,388.6,1303.8000000000002
1900-04-21,239.74000000000018,141.007,684.9900000000002,1005.9029999999983,399.0000000000001,1303.8000000000002
1900-04-22,246.29000000000016,141.244,686.0400000000001,1005.9029999999983,399.0000000000001,1309.8000000000002
1900-04-23,247.77000000000018,141.48100000000002,696.7099999999999,1005.9029999999983,408.6,1324.4
1900-04-24,248.0400000000002,142.508,699.5899999999999,1007.1209999999983,416.4000000000001,1325.6000000000001
1900-04-25,260.37000000000006,147.05599999999998,702.47,1012.0349999999985,417.45000000000016,1326.2
1900-04-26,264.38000000000017,147.707,702.5500000000001,1012.6499999999985,422.7500000000001,1327.2
1900-04-27,265.51000000000005,153.79799999999997,702.5500000000001,1012.9229999999984,429.50000000000017,1328.8
