date,Very dry,Extremely dry,Very wet,Extremely wet,Median,2022 to date
1900-01-25,14.06,5.724,156.52000000000004,303.79999999999995,57.4,166.2
1900-01-26,15.919999999999998,6.324,164.1000000000001,312.08399999999983,61.099999999999994,166.2
1900-01-27,18.64,7.454,168.64000000000001,328.8799999999996,62.59999999999998,166.2
1900-01-28,18.919999999999998,7.454,172.44,328.8799999999996,67.79999999999998,166.2
1900-01-29,22.0,7.454,177.28000000000003,329.3739999999996,70.39999999999999,166.2
1900-01-30,24.939999999999998,7.454,182.54000000000005,333.5899999999997,76.39999999999999,166.2
1900-01-31,26.28,7.454,190.08000000000004,354.3099999999998,79.4,166.2
1900-02-01,26.28,7.644,207.0400000000001,366.1519999999999,80.10000000000001,166.2
1900-02-02,26.28,8.905999999999999,219.02000000000012,370.1819999999999,93.30000000000001,174.0
1900-02-03,26.3,8.905999999999999,234.4200000000001,377.86999999999995,94.39999999999999,181.0
1900-02-04,26.3,8.905999999999999,235.92000000000007,395.54599999999994,97.0,185.4
1900-02-05,34.31999999999999,10.392000000000001,241.94000000000005,404.796,99.39999999999998,200.8
1900-02-06,35.3,12.438,246.02000000000015,410.76800000000003,99.80000000000001,201.20000000000002
1900-02-07,37.48,15.477999999999998,265.32000000000005,416.14,107.39999999999999,216.8
1900-02-08,38.36,16.448,268.68,417.77,114.80000000000001,229.60000000000002
1900-02-09,38.86,19.795999999999996,283.7600000000002,426.84600000000006,122.4,231.40000000000003
1900-02-10,43.79999999999999,19.795999999999996,290.6,458.2219999999998,122.89999999999999,231.40000000000003
1900-02-11,46.239999999999995,20.327999999999996,291.86,466.4679999999999,132.9,236.40000000000003
1900-02-12,47.199999999999996,20.451999999999995,301.6600000000002,484.542,136.3,242.20000000000005
1900-02-13,48.65999999999998,21.754,305.20000000000005,490.38800000000003,136.79999999999998,254.20000000000005
1900-02-14,49.959999999999994,24.262,311.5000000000001,500.13599999999997,142.89999999999998,254.20000000000005
1900-02-15,52.799999999999976,24.262,311.66000000000014,502.83399999999995,151.80000000000007,254.20000000000005
1900-02-16,55.719999999999985,24.485999999999997,322.72000000000014,505.6579999999999,156.29999999999998,254.20000000000005
1900-02-17,56.01999999999999,24.733999999999998,347.1600000000002,512.3579999999998,157.00000000000003,254.20000000000005
1900-02-18,56.27999999999999,27.809999999999995,358.96000000000004,516.1779999999998,157.5,254.80000000000004
1900-02-19,57.55999999999999,28.461999999999996,360.12,523.1219999999998,159.40000000000003,255.00000000000003
1900-02-20,62.05999999999999,29.454,361.46000000000004,532.6699999999998,161.70000000000002,255.00000000000003
1900-02-21,62.05999999999999,32.702000000000005,371.1200000000002,553.2359999999999,164.30000000000007,255.00000000000003
1900-02-22,63.17999999999999,32.702000000000005,374.48000000000013,583.0999999999996,164.6,263.20000000000005
1900-02-23,65.01999999999998,32.702000000000005,374.48000000000013,584.9239999999995,166.9000000000001,368.40000000000003
1900-02-24,66.71999999999998,32.702000000000005,403.4200000000004,620.9039999999998,169.8,412.8
1900-02-25,71.40000000000002,34.43000000000001,430.00000000000017,621.3979999999998,170.5,437.2
1900-02-26,71.40000000000002,35.04,430.7000000000001,635.5959999999999,172.89999999999998,487.0
1900-02-27,73.04,35.215999999999994,431.5000000000001,636.9059999999998,175.70000000000005,509.0
1900-02-28,73.28,39.184,440.7800000000001,637.5899999999998,183.39999999999998,522.2
1900-03-01,74.26,39.488,442.32000000000005,652.8439999999997,191.99999999999997,556.8000000000001
1900-03-02,74.79999999999998,39.797999999999995,443.50000000000017,664.7759999999996,193.40000000000003,582.0000000000001
1900-03-03,74.79999999999998,39.797999999999995,443.50000000000017,667.6639999999995,205.2,632.8000000000001
1900-03-04,74.79999999999998,39.797999999999995,448.40000000000003,674.1739999999998,207.39999999999998,652.4000000000001
1900-03-05,74.79999999999998,49.467999999999996,455.2400000000001,674.3599999999997,210.9,661.0000000000001
1900-03-06,80.43999999999998,49.467999999999996,455.32000000000016,675.9739999999997,215.3,694.8000000000001
1900-03-07,91.97999999999998,49.467999999999996,460.04000000000013,687.5479999999997,216.4,726.2
1900-03-08,93.99999999999996,49.467999999999996,460.3200000000001,696.5739999999996,217.5000000000001,821.6
1900-03-09,94.91999999999996,49.467999999999996,466.52000000000015,706.6799999999997,224.20000000000005,872.4
1900-03-10,94.95999999999997,49.467999999999996,469.6000000000002,714.2439999999997,234.4,872.6
1900-03-11,105.75999999999998,52.41799999999999,480.88000000000005,777.6259999999996,234.40000000000003,872.6
1900-03-12,106.46,55.889999999999986,482.0800000000001,785.0119999999998,236.59999999999994,872.8000000000001
1900-03-13,106.96,56.696,492.36000000000035,788.9979999999998,240.40000000000012,874.6
1900-03-14,109.41999999999999,57.19,492.36000000000035,789.9219999999998,240.79999999999998,874.8000000000001
1900-03-15,111.89999999999996,57.49399999999999,494.2000000000004,790.0359999999997,244.40000000000003,877.2
1900-03-16,113.91999999999997,57.49399999999999,494.24000000000035,792.8259999999997,250.79999999999998,888.8000000000001
1900-03-17,114.81999999999996,58.237999999999985,498.4000000000002,794.1899999999997,255.59999999999997,894.2
1900-03-18,115.85999999999997,60.859999999999985,507.50000000000017,794.1899999999997,261.59999999999997,894.2
1900-03-19,116.39999999999996,69.43999999999998,508.88000000000005,819.18,268.80000000000007,931.2
1900-03-20,125.17999999999998,69.43999999999998,509.17999999999995,822.9559999999999,268.80000000000007,931.6
1900-03-21,128.31999999999996,71.06999999999998,518.8000000000002,824.1959999999999,281.3,931.6
1900-03-22,129.39999999999995,71.06999999999998,518.9800000000001,827.6399999999999,285.40000000000003,931.6
1900-03-23,129.63999999999996,71.06999999999998,522.8,832.7519999999998,299.79999999999995,931.6
1900-03-24,130.83999999999997,71.06999999999998,534.7600000000001,832.9799999999999,303.99999999999994,933.2
1900-03-25,140.75999999999996,71.18399999999998,535.96,885.3659999999994,308.79999999999995,949.8000000000001
1900-03-26,145.8,71.18399999999998,544.7200000000001,893.2639999999993,308.79999999999995,958.2
1900-03-27,149.79999999999995,71.18399999999998,545.8400000000001,897.4219999999993,312.5,960.0
1900-03-28,150.11999999999998,71.18399999999998,546.4200000000002,898.1819999999993,315.7000000000001,974.2
1900-03-29,158.50000000000003,71.18399999999998,561.7800000000001,903.2659999999994,317.49999999999994,1031.6000000000001
1900-03-30,158.50000000000003,71.18399999999998,562.5,912.8199999999995,322.8,1059.2
1900-03-31,168.54,71.86799999999998,575.34,920.6979999999995,323.79999999999995,1076.2
1900-04-01,178.28000000000003,72.24799999999998,576.6000000000001,922.4419999999996,326.0000000000001,1096.2
1900-04-02,178.44000000000003,72.24799999999998,578.2400000000001,922.4419999999996,327.2,1100.0
1900-04-03,179.62000000000003,72.24799999999998,581.4000000000001,938.6919999999996,332.00000000000017,1100.0
1900-04-04,182.10000000000002,74.91399999999999,591.84,944.5859999999997,333.59999999999997,1100.0
1900-04-05,184.88000000000002,75.22399999999998,603.44,968.2699999999999,338.29999999999995,1100.0
1900-04-06,189.42000000000007,76.71199999999997,603.44,988.73,345.79999999999984,1112.0
1900-04-07,194.6600000000001,78.45999999999998,603.44,988.8439999999999,348.3999999999999,1226.8
1900-04-08,204.22000000000006,79.33399999999997,608.2399999999999,988.8439999999999,352.4,1264.0
1900-04-09,204.28000000000006,82.06999999999996,608.2399999999999,1002.4159999999999,353.10000000000014,1273.2
1900-04-10,209.0,85.05399999999996,609.2399999999999,1003.632,359.40000000000003,1275.6000000000001
1900-04-11,212.31999999999996,101.59999999999997,626.8200000000002,1022.4019999999999,362.1000000000002,1275.8000000000002
1900-04-12,213.57999999999998,117.65799999999997,649.0,1022.6299999999999,363.00000000000006,1276.6000000000001
1900-04-13,214.14000000000001,133.38399999999996,655.2,1022.6299999999999,365.6,1276.6000000000001
1900-04-14,216.78000000000006,133.38399999999996,655.2,1023.2499999999999,370.3000000000001,1292.0000000000002
