date,Very dry,Very wet,Median,2021-22 to date
1900-07-17,0.0,52.1,13.2,49.300000000000004
1900-07-18,0.0,52.1,14.5,49.300000000000004
1900-07-19,0.0,56.8,15.8,49.300000000000004
1900-07-20,0.0,56.900000000000006,18.1,49.300000000000004
1900-07-21,0.0,63.5,18.1,49.300000000000004
1900-07-22,0.0,64.3,18.6,49.300000000000004
1900-07-23,0.0,72.0,18.6,49.300000000000004
1900-07-24,0.0,75.3,19.799999999999997,56.300000000000004
1900-07-25,0.0,95.0,20.1,56.300000000000004
1900-07-26,0.3,97.6,21.6,56.300000000000004
1900-07-27,0.3,106.3,23.1,56.300000000000004
1900-07-28,0.6,106.3,25.299999999999997,56.300000000000004
1900-07-29,1.8,106.5,27.5,56.400000000000006
1900-07-30,1.8,106.5,31.6,56.400000000000006
1900-07-31,2.0,106.5,31.6,56.400000000000006
1900-08-01,2.0,106.5,32.0,56.400000000000006
1900-08-02,2.0,106.5,33.2,56.50000000000001
1900-08-03,2.5,106.5,33.2,56.50000000000001
1900-08-04,2.8,106.5,34.05,56.50000000000001
1900-08-05,3.3,106.5,34.05,56.50000000000001
1900-08-06,3.3,106.5,34.400000000000006,56.50000000000001
1900-08-07,3.3,106.5,35.0,56.50000000000001
1900-08-08,3.3,106.5,35.0,56.50000000000001
1900-08-09,3.3,106.5,36.60000000000001,58.300000000000004
1900-08-10,3.3,107.2,36.60000000000001,58.300000000000004
1900-08-11,3.6,115.39999999999999,37.099999999999994,58.300000000000004
1900-08-12,4.0,115.39999999999999,37.099999999999994,58.50000000000001
1900-08-13,4.1,120.99999999999999,38.49999999999999,58.50000000000001
1900-08-14,4.1,127.6,40.099999999999994,58.900000000000006
1900-08-15,4.1,127.6,40.099999999999994,58.900000000000006
1900-08-16,4.1,127.6,40.099999999999994,58.900000000000006
1900-08-17,4.1,127.6,43.1,58.900000000000006
1900-08-18,4.5,129.19999999999996,43.1,58.900000000000006
1900-08-19,4.5,129.19999999999996,43.1,60.10000000000001
1900-08-20,5.8,139.4,43.3,60.10000000000001
1900-08-21,5.8,144.6,44.4,60.10000000000001
1900-08-22,5.8,144.6,46.699999999999996,60.10000000000001
1900-08-23,5.8,144.6,46.699999999999996,60.10000000000001
1900-08-24,5.8,145.2,46.699999999999996,66.10000000000001
1900-08-25,5.8,146.2,51.53333333333333,66.10000000000001
1900-08-26,11.399999999999999,146.2,54.199999999999996,66.10000000000001
1900-08-27,11.899999999999999,146.2,56.2,66.10000000000001
1900-08-28,12.2,155.0,58.599999999999994,66.10000000000001
1900-08-29,13.1,155.0,60.4,66.10000000000001
1900-08-30,13.1,155.0,60.79999999999999,69.10000000000001
1900-08-31,13.1,155.0,65.8,69.10000000000001
1900-09-01,13.500000000000002,162.3,65.8,69.10000000000001
1900-09-02,13.500000000000002,163.49999999999997,66.59999999999998,70.30000000000001
1900-09-03,13.500000000000002,163.49999999999997,68.2,71.50000000000001
1900-09-04,13.899999999999999,163.49999999999997,68.2,72.50000000000001
1900-09-05,14.600000000000001,168.09999999999997,68.2,72.50000000000001
1900-09-06,14.600000000000001,172.20000000000002,68.2,72.90000000000002
1900-09-07,16.2,172.20000000000002,70.19999999999997,72.90000000000002
1900-09-08,19.8,172.20000000000002,70.2,72.90000000000002
1900-09-09,19.8,172.20000000000002,70.2,72.90000000000002
1900-09-10,19.8,172.20000000000002,73.2,72.90000000000002
1900-09-11,19.8,172.20000000000002,73.6,72.90000000000002
1900-09-12,19.8,173.39999999999998,74.39999999999999,72.90000000000002
1900-09-13,19.8,177.3,74.39999999999999,72.90000000000002
1900-09-14,19.8,182.60000000000002,74.39999999999999,73.10000000000002
1900-09-15,19.8,184.90000000000003,75.26666666666667,73.10000000000002
1900-09-16,19.8,186.59999999999997,79.60000000000001,73.10000000000002
1900-09-17,19.8,186.59999999999997,79.7,73.10000000000002
1900-09-18,19.8,186.59999999999997,81.49999999999999,73.10000000000002
1900-09-19,19.8,186.59999999999997,84.0,73.10000000000002
1900-09-20,19.8,187.35,85.69999999999999,73.10000000000002
1900-09-21,19.8,187.35,85.69999999999999,73.10000000000002
1900-09-22,19.8,187.35,85.69999999999999,73.10000000000002
1900-09-23,19.8,187.35,85.69999999999999,73.10000000000002
1900-09-24,19.8,187.35,88.80000000000001,73.10000000000002
1900-09-25,21.2,187.35,90.59999999999997,73.10000000000002
1900-09-26,21.2,195.49999999999997,92.69999999999999,73.10000000000002
1900-09-27,23.5,202.39999999999998,96.39999999999996,73.50000000000003
1900-09-28,24.099999999999998,210.40000000000003,100.4,73.90000000000003
1900-09-29,24.099999999999998,210.40000000000003,102.3,73.90000000000003
1900-09-30,28.5,214.30000000000007,105.8,76.50000000000003
1900-10-01,28.5,219.30000000000004,105.8,85.50000000000003
1900-10-02,28.5,219.30000000000004,106.19999999999999,94.70000000000003
1900-10-03,28.5,219.30000000000004,108.5,94.70000000000003
1900-10-04,28.5,219.30000000000004,108.5,94.70000000000003
1900-10-05,28.5,219.30000000000004,108.5,94.70000000000003
1900-10-06,28.5,219.30000000000004,108.5,94.70000000000003
1900-10-07,34.8,224.0,110.5,94.70000000000003
1900-10-08,35.5,227.20000000000002,113.2,95.10000000000004
1900-10-09,35.5,227.20000000000002,113.2,95.10000000000004
1900-10-10,35.5,227.20000000000002,116.39999999999998,95.10000000000004
1900-10-11,35.5,231.80000000000004,116.39999999999998,95.10000000000004
1900-10-12,38.099999999999994,233.00000000000003,120.10000000000001,133.70000000000005
1900-10-13,39.699999999999996,248.2,121.9,134.50000000000006
1900-10-14,39.699999999999996,259.2,126.09999999999998,189.90000000000006
1900-10-15,41.49999999999999,259.2,128.8,190.50000000000006
1900-10-16,41.49999999999999,259.79999999999995,130.49999999999997,196.70000000000005
1900-10-17,41.49999999999999,271.79999999999995,134.5,196.70000000000005
1900-10-18,45.29999999999999,276.40000000000003,139.70000000000002,196.70000000000005
1900-10-19,45.29999999999999,278.9000000000001,139.70000000000002,209.70000000000005
1900-10-20,54.0,288.6,142.29999999999998,209.70000000000005
1900-10-21,54.0,298.0,147.7,213.30000000000004
1900-10-22,54.0,298.0,149.89999999999998,220.70000000000005
1900-10-23,55.2,298.0,149.89999999999998,222.30000000000004
1900-10-24,55.400000000000006,298.0,150.99999999999997,222.40000000000003
1900-10-25,64.0,308.7,153.60000000000002,222.40000000000003
1900-10-26,64.0,309.0,153.7,224.20000000000005
1900-10-27,64.0,309.0,154.59999999999997,228.20000000000005
1900-10-28,64.0,310.59999999999997,159.5,228.20000000000005
1900-10-29,64.0,322.00000000000006,161.6,230.60000000000005
1900-10-30,64.0,322.00000000000006,161.6,232.00000000000006
1900-10-31,64.0,331.70000000000005,169.45,239.20000000000005
1900-11-01,64.0,343.90000000000003,169.45,239.20000000000005
1900-11-02,68.89999999999999,343.90000000000003,177.40000000000006,239.20000000000005
1900-11-03,71.1,346.99999999999994,178.50000000000003,239.40000000000003
1900-11-04,71.3,351.00000000000006,178.89999999999998,239.40000000000003
1900-11-05,71.39999999999999,355.6000000000001,180.1,239.40000000000003
1900-11-06,71.39999999999999,355.9000000000001,180.16666666666663,240.60000000000002
1900-11-07,71.39999999999999,361.3,186.0,240.60000000000002
1900-11-08,71.39999999999999,368.8,188.16666666666663,251.00000000000003
1900-11-09,71.39999999999999,368.8,190.4,273.6
1900-11-10,83.09999999999998,373.0,196.2,274.0
1900-11-11,83.09999999999998,374.2,199.79999999999995,275.0
1900-11-12,83.09999999999998,382.3,199.79999999999995,298.0
1900-11-13,84.3,393.79999999999995,203.45000000000002,298.2
1900-11-14,85.1,393.79999999999995,215.3,298.2
1900-11-15,85.79999999999998,394.10000000000025,215.3,298.2
1900-11-16,85.79999999999998,397.90000000000026,217.79999999999995,298.2
1900-11-17,85.79999999999998,411.7999999999998,217.79999999999995,298.2
1900-11-18,85.79999999999998,411.7999999999998,217.79999999999995,299.0
1900-11-19,85.79999999999998,412.60000000000025,226.29999999999995,299.0
1900-11-20,86.4,414.6000000000001,229.0,299.0
1900-11-21,86.4,414.6000000000001,229.0,299.0
1900-11-22,86.4,429.4,229.8,305.8
1900-11-23,86.4,430.4,229.8,322.0
1900-11-24,86.4,430.4,237.65000000000003,402.8
1900-11-25,86.4,456.3000000000003,241.90000000000003,413.6
1900-11-26,86.4,459.09999999999997,242.40000000000003,427.20000000000005
1900-11-27,86.4,478.5500000000003,242.40000000000003,427.6
1900-11-28,86.4,478.5500000000003,243.5,427.6
1900-11-29,86.4,478.5500000000003,248.40000000000006,427.6
1900-11-30,96.9,480.3500000000003,250.8,464.20000000000005
1900-12-01,96.9,491.70000000000016,256.1,555.2
1900-12-02,96.9,509.3500000000003,260.40000000000003,568.4000000000001
1900-12-03,96.9,509.3500000000003,262.20000000000005,568.4000000000001
1900-12-04,96.9,513.4000000000003,268.09999999999997,568.4000000000001
1900-12-05,96.9,514.7000000000003,275.34999999999997,577.6000000000001
1900-12-06,96.9,516.0000000000002,281.2,577.6000000000001
1900-12-07,96.9,516.0000000000002,285.00000000000006,577.6000000000001
1900-12-08,96.9,516.0000000000002,296.49999999999994,577.7000000000002
1900-12-09,102.0,518.0500000000002,300.40000000000003,591.7000000000002
1900-12-10,102.0,524.1999999999997,301.3,648.7000000000002
1900-12-11,102.0,527.7500000000002,301.5666666666666,648.7000000000002
1900-12-12,103.4,531.8500000000003,304.80000000000007,648.7000000000002
1900-12-13,103.4,536.6000000000003,317.8,648.7000000000002
1900-12-14,113.39999999999998,566.15,317.8,648.7000000000002
