date,Very dry,Extremely dry,Very wet,Extremely wet,Median,2022 to date
1900-04-04,171.3,75.11199999999998,537.5199999999999,862.8519999999986,291.0,964.0000000000001
1900-04-05,172.9,75.32799999999999,537.5199999999999,863.9959999999985,292.8,964.0000000000001
1900-04-06,173.70000000000002,75.32799999999999,537.5199999999999,865.0079999999986,295.7999999999999,966.0000000000001
1900-04-07,173.70000000000002,76.47199999999998,537.56,865.0079999999986,295.80000000000007,1021.0000000000001
1900-04-08,173.70000000000002,78.23199999999999,540.84,865.2959999999986,304.4,1053.0
1900-04-09,177.46,79.99199999999998,549.1699999999998,873.5159999999987,304.4,1063.4
1900-04-10,183.17999999999998,81.44399999999999,549.1699999999998,875.7719999999988,305.50000000000006,1069.8000000000002
1900-04-11,183.17999999999998,87.51599999999999,549.1699999999998,875.7719999999988,306.80000000000007,1069.8000000000002
1900-04-12,183.17999999999998,95.788,549.1699999999998,875.7719999999988,306.80000000000007,1071.4
1900-04-13,187.06000000000003,109.26,549.9299999999998,875.9159999999988,306.80000000000007,1071.4
1900-04-14,187.12000000000003,112.8,549.9299999999998,876.3479999999988,310.19999999999993,1073.4
1900-04-15,194.16,112.8,550.0299999999999,877.6679999999989,310.90000000000003,1073.6000000000001
1900-04-16,204.94,112.8,551.72,881.0359999999988,317.09999999999997,1073.6000000000001
1900-04-17,205.24,112.8,563.2399999999998,881.0359999999988,317.09999999999997,1073.6000000000001
1900-04-18,205.24,112.8,576.87,881.0359999999988,317.3999999999999,1073.6000000000001
1900-04-19,205.24,112.8,590.4999999999999,881.0359999999988,334.80000000000007,1073.6000000000001
1900-04-20,209.38000000000002,112.8,590.4999999999999,881.0359999999988,334.80000000000007,1082.0000000000002
1900-04-21,210.73999999999998,112.8,592.2599999999999,881.0359999999988,346.80000000000007,1082.0000000000002
1900-04-22,211.14,112.8,592.42,881.4759999999987,347.2000000000001,1087.2000000000003
1900-04-23,211.14,112.8,606.6599999999996,881.4759999999987,356.4,1089.4000000000003
1900-04-24,214.17999999999998,112.8,608.1699999999996,881.4759999999987,357.4000000000001,1089.8000000000004
1900-04-25,216.4,112.85999999999999,608.1699999999996,881.4759999999987,365.3,1090.2000000000005
1900-04-26,220.0,112.85999999999999,608.2699999999996,881.4759999999987,377.20000000000005,1092.0000000000005
1900-04-27,225.9,112.85999999999999,608.2699999999996,881.4999999999989,378.2999999999999,1093.2000000000005
1900-04-28,227.22,117.612,618.92,881.4999999999989,378.2999999999999,1094.8000000000004
1900-04-29,227.61999999999998,122.71999999999998,623.1999999999999,881.4999999999989,379.6,1101.6000000000004
1900-04-30,233.07999999999998,122.71999999999998,623.1999999999999,900.2039999999994,379.6,1102.6000000000004
1900-05-01,233.07999999999998,122.71999999999998,623.1999999999999,1009.1279999999995,380.1,1104.4000000000003
1900-05-02,233.14,122.71999999999998,623.1999999999999,1012.9439999999996,381.3999999999999,1104.4000000000003
1900-05-03,233.14,122.71999999999998,625.1199999999999,1013.2959999999996,386.7,1104.4000000000003
1900-05-04,234.58000000000004,122.71999999999998,626.88,1016.1119999999996,388.10000000000014,1104.4000000000003
1900-05-05,239.68000000000006,128.88,626.88,1016.1119999999996,394.1000000000001,1105.0000000000002
1900-05-06,240.04000000000008,128.88,626.9599999999999,1016.1119999999996,394.19999999999993,1105.0000000000002
1900-05-07,240.28000000000003,128.88,626.9599999999999,1016.1119999999996,394.19999999999993,1105.0000000000002
1900-05-08,243.52000000000007,131.784,649.76,1016.1119999999996,395.19999999999993,1105.0000000000002
1900-05-09,243.68000000000006,134.6,649.76,1017.3799999999995,396.0,1105.2000000000003
1900-05-10,243.96000000000006,134.6,650.08,1017.3799999999995,396.0,1112.0000000000002
1900-05-11,244.36666666666673,134.6,650.08,1017.4399999999996,398.4000000000001,1130.0000000000002
1900-05-12,244.36666666666673,135.304,650.08,1018.7239999999996,399.8,1153.0000000000002
1900-05-13,244.8400000000001,135.304,650.6,1018.8199999999996,399.8,1159.8000000000002
1900-05-14,244.8400000000001,135.744,651.22,1018.9759999999997,405.79999999999984,1160.0000000000002
1900-05-15,252.42000000000002,138.0,651.8800000000001,1018.9759999999997,412.29999999999995,1160.0000000000002
1900-05-16,252.48000000000002,138.0,654.2800000000001,1018.9759999999997,412.29999999999995,1160.4000000000003
1900-05-17,252.68000000000004,139.144,658.36,1020.1119999999996,414.8000000000002,1160.4000000000003
1900-05-18,252.74000000000004,139.144,658.6000000000003,1021.4079999999997,418.69999999999993,1160.4000000000003
1900-05-19,255.04000000000008,139.144,658.64,1021.4079999999997,420.80000000000007,1160.4000000000003
1900-05-20,256.2800000000001,139.936,659.4000000000002,1021.9999999999998,425.2,1160.6000000000004
1900-05-21,257.08000000000004,140.296,659.4000000000002,1022.0879999999996,426.90000000000003,1174.8000000000004
