"Time","212200","","212200","","212200","",""
"and","100.00","","100.00","","100.00","",""
"Date","Level (Metres)","","Level (Metres)","","Level (Metres)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
08:00:00 29/04/1988,"",    255,"",    255,"",    255,Sites:
08:00:00 30/04/1988,       5.149,      4,       0.357,      4,       7.585,      4,212200 - HAWKESBURY RIVER AT NORTH RICHMOND Lat:-33.58930125 Long:150.71403109 Elev:15m
08:00:00 01/05/1988,      12.405,      4,       7.585,      4,      14.359,      4, 
08:00:00 02/05/1988,      13.534,      4,      12.438,      4,      14.301,      4,Variables:
08:00:00 03/05/1988,      11.100,      4,       9.883,      4,      12.438,      4,100 - Stream Water Level (Metres)
08:00:00 04/05/1988,       8.695,      4,       7.592,      4,       9.883,      4, 
08:00:00 05/05/1988,       6.031,      4,       4.550,      4,       7.592,      4,Qualities:
08:00:00 06/05/1988,       3.858,      4,       3.527,      4,       4.550,      4,1 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
08:00:00 07/05/1988,       3.230,      4,       3.018,      4,       3.527,      4,2 - TS - Data adjusted during processing - see code definitions
08:00:00 08/05/1988,       2.816,      4,       2.691,      4,       3.018,      4,4 - TS - Data adjusted during processing - see code definitions
08:00:00 09/05/1988,       2.601,      4,       2.540,      4,       2.691,      4,5 - RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way - see code definitions
08:00:00 10/05/1988,       2.057,      4,       1.444,      4,       2.540,      4,6 - GAUGINGS - Good Gauging to AS3778; TS - Data adjusted during processing - see comments
08:00:00 11/05/1988,       1.778,      4,       1.616,      4,       1.809,      4,10 - TS - Data adjusted during processing - see comments
08:00:00 12/05/1988,       1.759,      4,       1.713,      4,       1.810,      4,51 - TS - Data estimated - see comments
08:00:00 13/05/1988,       1.609,      4,       1.442,      4,       1.748,      4,100 - Quality unknown
08:00:00 14/05/1988,       1.000,      4,       0.403,      4,       1.452,      4,130 - Not quality coded - subject to change
08:00:00 15/05/1988,       0.371,      4,       0.176,      4,       0.613,      4,201 - Data unavailable
08:00:00 16/05/1988,       0.311,      4,       0.127,      4,       0.635,      4,255 - No data exists
08:00:00 17/05/1988,       0.271,      4,       0.056,      4,       0.609,      4,255 - Data Unavailable
08:00:00 18/05/1988,       0.258,      4,       0.036,      4,       0.619,      4, 
08:00:00 19/05/1988,       0.240,      4,       0.030,      4,       0.545,      4, 
08:00:00 20/05/1988,       0.200,      4,       0.022,      4,       0.482,      4, 
08:00:00 21/05/1988,       0.166,      4,       0.021,      4,       0.447,      4, 
08:00:00 22/05/1988,       0.140,      4,      -0.004,      4,       0.371,      4, 
08:00:00 23/05/1988,       0.103,      4,      -0.010,      4,       0.311,      4, 
